system:index,Aspect,DEM,EVI,Fire_Label,LSWI,NBR,NDMI,NDVI,NDWI,Precipitation,SAVI,Slope,TCI,Temperature,VCI,WindSpeed,random,.geo
47,71,404,1.6873840445269017,0,0.09171729,0.2214854,-0.09171729,0.3278068,-0.317361,0.62469584,0.4916659158482746,2,53.529558493389885,28.83315789473687,61.62396656846945,3.110245965436544,0.3578774185070267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.12796496125651,13.670112836088819]}"
49,96,697,1.4617201611782686,0,-0.003163017,0.17459862,0.003163017,0.3454844,-0.36158192,0.69131947,0.518184057138166,9,47.92626728110624,25.370000000000005,63.342385071462616,2.3328556192504486,0.3783743893669206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.10999865557412,14.146219936672166]}"
51,12,183,0.6168995118666891,0,-0.05420466,0.014536069,0.05420466,0.17264663,-0.23011036,0.6303489,0.25894959962317476,0,54.60342417889555,27.144444444444503,46.541018857901555,2.882510676246685,0.3370072295503237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.27618698313623,13.539857119891488]}"
52,262,840,1.3464459295261237,0,0.011512505,0.1219727,-0.011512505,0.30199283,-0.32409492,1.4200022,0.45295069403048627,4,43.339212228101296,23.615333333333353,59.11461998841189,2.1590380785249126,0.018403776775743563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3300859001834,14.370798757702046]}"
54,95,175,0.39566361167685,0,-0.1646565,-0.1292645,0.1646565,0.13458902,-0.22150572,0.5848641,0.20186895655938808,1,56.10476190476182,31.034285714285772,42.84148201543981,1.992749552150449,0.08520920331670123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46034161638073,13.342227757385194]}"
55,231,384,0.7329804440523452,0,-0.10538405,0.0030150753,0.10538405,0.23048471,-0.28867728,1.534619,0.3457004160887656,2,55.87148594377501,30.03533333333337,52.16339390125886,2.889511812631704,0.44487592339430504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5277152626897,13.91265796280109]}"
56,273,261,0.4612732318560256,0,-0.16456501,-0.07897196,0.16456501,0.16163254,-0.2445146,0.6520086,0.24243093922651934,4,42.31830726770922,32.150000000000034,45.470351821906114,2.974472759821159,0.5833131451485151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.21330491324787,13.521890814209097]}"
57,288,205,1.6106644678073252,0,0.029047225,0.22373393,-0.029047225,0.4075813,-0.4061143,0.5777437,0.6113187864035469,1,53.67160416010098,29.472105263157914,69.37875384830294,2.3545131391910203,0.5512573780841289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.66084101351436,13.620705495462245]}"
59,353,1059,2.9237012987012987,0,0.20546454,0.40061808,-0.20546454,0.5655519,-0.51178837,1.6130743,0.8482612449956826,4,38.461538461538616,22.90846153846155,84.73489833502992,2.2496272650912914,0.49096417958289873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46034161638073,14.191135700878142]}"
60,356,617,2.289141088470467,0,0.08387992,0.26358357,-0.08387992,0.44895035,-0.41553414,1.6917341,0.6733687405159332,7,47.64970365828759,27.208571428571418,73.40019278118348,2.340011405374553,0.38304737678002465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.62203836752225,14.13723678383097]}"
61,8,709,2.7863702271628803,0,0.19297512,0.38048387,-0.19297512,0.5077953,-0.44455695,1.2915827,0.7616258587282015,7,43.47596407818286,23.80333333333334,79.12044465275902,2.622526497222153,0.02218298532342411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.60856363826045,13.620705495462245]}"
62,177,302,1.4702331787280003,0,0.06518724,0.24128377,-0.06518724,0.4024348,-0.4149851,0.4277603,0.6035996869837406,1,63.10971937853779,28.334210526315815,68.87846763396878,2.303526549570668,0.1112277668287357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.70126520129973,13.74197805881838]}"
63,178,1175,3.3598178607936062,0,0.29750684,0.4897928,-0.29750684,0.5936294,-0.5241834,1.4814327,0.8903710392382204,11,36.57694962042778,21.641428571428605,87.46428352715992,2.150981350634006,0.2739253914524008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.35254378228639,14.366307181281448]}"
64,248,460,3.294104204753199,0,0.18834548,0.38715684,-0.18834548,0.50739175,-0.45453003,1.2675129,0.7610206775186977,8,51.367359798361946,24.51533333333333,79.08121767021795,1.924181458522445,0.5827179271078198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.65797097888702,13.436550862217743]}"
65,185,442,1.5874613559565747,0,0.056756053,0.17295189,-0.056756053,0.37360406,-0.3796737,1.5921625,0.5603586836985026,1,54.20059215395976,27.00142857142862,66.07586561147556,2.181265404384133,0.4076141358454345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.6983951666724,14.038422102577822]}"
66,122,500,1.4607856103689987,0,0.028310385,0.20609765,-0.028310385,0.38204774,-0.40575248,0.3688122,0.5730220492866407,3,56.77966101694902,27.890000000000043,66.89666560720623,1.9403658208524095,0.0902008888363589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.60245052004659,13.83630116365093]}"
67,1,531,3.541602227033715,0,0.21610531,0.38600937,-0.21610531,0.47480822,-0.43335012,1.8227072,0.712138488649321,7,47.45487071068511,23.60076923076923,75.91380715718788,2.0159025571501235,0.4950078841954064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.75678566014017,13.768927517341966]}"
68,184,519,0.9079245283018867,0,-0.039226998,0.058973137,0.039226998,0.22037002,-0.26031026,0.64612436,0.3305247733308911,2,52.22547108512019,28.48157894736846,51.18015795980973,3.110245965436544,0.3134692751815694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.08754077347113,13.701553871033003]}"
69,196,372,1.1924080999082762,0,-0.030869732,0.082248606,0.030869732,0.28761062,-0.31468287,1.6234496,0.43137922232621456,1,49.77749523204095,27.422307692307697,57.71653990802332,2.364637786493362,0.24424000501660348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.68042886099002,13.890200080698103]}"
70,123,136,1.0737129727379993,0,-0.065512374,0.05870896,0.065512374,0.29399762,-0.33403453,1.9111458,0.4409589390461617,1,45.9336250911746,28.073333333333323,58.33741299127967,1.8989316658763546,0.12327464923604581,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.68941201383122,13.077224748569934]}"
71,159,220,1.0026756794817633,0,-0.11927173,-0.04145043,0.11927173,0.25039563,-0.28357401,1.2706769,0.37556043956043955,1,40.24317912218246,31.94500000000005,54.0989135392944,2.8356209753615773,0.2924294952086681,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54568156837209,13.674604412509417]}"
74,127,405,2.4010041682455476,0,0.1678013,0.35857266,-0.1678013,0.48088416,-0.44939646,0.56441927,0.7212578258394992,8,48.104241185487936,26.715263157894753,76.50444399795478,2.069774233725851,0.4527286365003961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.64736628425257,13.49943293210611]}"
75,147,558,1.4230953521801628,0,0.03782506,0.16580912,-0.03782506,0.3399466,-0.36547434,0.64612436,0.5098712446351932,2,45.501454170184736,28.344736842105306,62.80406026781611,3.110245965436544,0.1250535379119575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.07855762062994,13.719520176715392]}"
79,246,151,0.6377635631366975,0,-0.123172104,-0.029869322,0.123172104,0.20871453,-0.28228328,0.66776395,0.3130475230638034,1,54.36694271322461,29.013076923076937,50.04713974602869,2.1372501420224577,0.17283664604366256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.50525738058671,13.378160368749974]}"
80,32,901,1.8188196450680973,0,0.12911542,0.26370457,-0.12911542,0.4034606,-0.4087484,0.70096004,0.6051354815086049,1,56.96740128558312,27.01555555555558,68.97818499782286,2.3204194698258362,0.09821349999160944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.20881333682726,14.092321019624993]}"
